职位名称,公司名,薪资,城市,基本要求,福利待遇
C++开发工程师/仿真开发工程师,赛目科技,12-30k·13薪,上海-松江区,统招本科 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 领导好 | 发展空间大 | 扁平管理 | 团队聚餐 | 定期体检
C/C++初级软件工程师,广州邦讯信息系统有限公司,6-12k,广州-天河区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 通讯津贴 | 免费班车 | 技能培训 | 带薪年假 | 团队聚餐 | 优秀员工奖 | 定期体检
c++软件工程师,旭东,15-25k·13薪,深圳-新洲,硕士及以上 | 1-3年 | 语言不限 | 年龄不限,国家高新技术企业认定 | 年终奖金 | 股票期权 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 带薪年假 | 节日礼物 | 优秀员工奖 | 定期体检
c++软件工程师,旭东,15-25k·13薪,北京-海淀区,硕士及以上 | 经验不限 | 语言不限 | 年龄不限,国家高新技术企业认定 | 年终奖金 | 股票期权 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 带薪年假 | 节日礼物 | 优秀员工奖 | 定期体检
c++软件工程师,深圳市创鑫激光股份有限公司,15-20k·14薪,深圳-宝安区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 免费班车 | 提供住宿 | 发展空间大 | 公司规模大 | 岗位晋升 | 带薪年假 | 年度旅游 | 团队聚餐
嵌入式软件开发（C++ ，树莓派）,奥润激光技术,11-20k·13薪,西安,大专及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 餐费补贴 | 发展空间大 | 岗位晋升 | 团队聚餐 | 节日礼物
c++软件工程师,江苏艾迪生电子科技有限公司,10-15k,南京,本科及以上 | 3-5年 | 语言不限 | 年龄不限,
c++开发测试（北京）,南京华飞数据技术有限公司,13-25k·14薪,北京-马连洼,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 书本津贴 | 餐费补贴 | 带薪年假 | 团队聚餐 | 优秀员工奖 | 定期体检
c++开发工程师（北京）,南京华飞数据技术有限公司,13-25k·14薪,北京-马连洼,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 书本津贴 | 餐费补贴 | 带薪年假 | 团队聚餐 | 优秀员工奖 | 定期体检
C++软件开发工程师（人工智能工业物联网）,哈工大机器人(合肥)国际创新研究院,11-17k,合肥-经开区,统招本科 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 餐费补贴 | 弹性工作 | 带薪年假 | 定期体检
c++工程师,北京九纯健科技发展有限公司,10-15k,保定,统招本科 | 5-10年 | 语言不限 | 年龄不限,国家高新技术企业认定 | 五险一金 | 全勤奖 | 带薪年假 | 定期体检 | 年度旅游
C++物联网数据采集工程师,南京耘瞳科技有限公司,13-17k·13薪,南京-江宁区,统招本科 | 5-10年 | 语言不限 | 年龄不限,绩效奖金 | 五险一金 | 发展空间大 | 扁平管理 | 带薪年假 | 定期体检
c++开发（徐泾东）,银科控股,20-30k,上海-青浦区,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 生育补贴 | 餐费补贴 | 领导好 | 节日礼物 | 优秀员工奖 | 定期体检
c++开发专家（RPA产品）,泛微,20-40k·15薪,上海,本科及以上 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 年终奖金 | 绩效奖金 | 五险一金 | 免费班车 | 发展空间大 | 公司规模大 | 年度旅游 | 定期体检 | 免费三餐下午茶 | 周末双休
C++开发工程师（LK),南京溧航仿生产业研究院有限公司,13-19k·13薪,南京,本科及以上 | 1-3年 | 语言不限 | 年龄不限,五险一金 | 年底双薪 | 免费班车 | 带薪年假
c++服务器开发工程师,佰钧成技术,17-22k,深圳-新安,大专及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 发展空间大 | 公司规模大 | 技能培训 | 弹性工作 | 带薪年假 | 年度旅游 | 节日礼物 | 定期体检
C++数据库开发工程师,中兴高达,15-25k,南京,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 通讯津贴
Linux C/C++ 软件开发工程师,中兴高达,15-25k,南京,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 通讯津贴
c++开发工程师,中兴高达,15-25k,南京,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 通讯津贴
Qt/C++开发工程师,武汉光谷卓越科技股份有限公司,10-15k·13薪,武汉-洪山区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,领导好 | 技能培训 | 岗位晋升 | 发展空间大
C++软件工程师,微创医疗器械,15-25k,上海-浦东新区,硕士及以上 | 1-3年 | 语言不限 | 年龄不限,绩效奖金 | 带薪年假 | 午餐补助 | 定期体检 | 弹性工作 | 五险一金
C++软件开发工程师,文香,15-25k·13薪,北京-亦庄,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 岗位晋升 | 带薪年假 | 年度旅游 | 团队聚餐 | 周末双休
Linux C/C++高级软件工程师,洲明科技,20-40k·14薪,深圳-宝安区,大专及以上 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 股票期权 | 绩效奖金 | 五险一金 | 领导好 | 发展空间大 | 公司规模大 | 扁平管理 | 岗位晋升 | 年度旅游 | 上市公司
c++软件工程师,佰钧成技术,18-30k,深圳-坂田,大专及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 发展空间大 | 公司规模大 | 技能培训 | 岗位晋升
c++开发工程师,文香,15-25k·13薪,北京-大兴区,统招本科 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 岗位晋升 | 弹性工作 | 带薪年假 | 年度旅游 | 股票股权 | 年底双薪
c++开发工程师,北京阅影科技有限公司,15-25k·13薪,北京-海淀区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 加班补贴 | 领导好 | 发展空间大 | 弹性工作 | 带薪年假 | 团队聚餐 | 定期体检 | 补充医疗
c++软件工程师,AutoChips,15-25k·14薪,深圳-南山区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年底双薪 | 绩效奖金 | 带薪年假 | 午餐补助 | 定期体检 | 年度旅游 | 节日礼物 | 技能培训 | 岗位晋升 | 五险一金
c++软件工程师,数之联科技,15-30k,成都-高新区,硕士及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 扁平管理
c++研发工程师,南昌雅南信息科技有限公司,15-30k,上海,本科及以上 | 1-3年 | 语言不限 | 年龄不限,股票期权 | 车辆津贴 | 领导好 | 发展空间大 | 年度旅游
c++工程师,湖南汇创玮达信息科技有限公司,7-12k,长沙-四方坪,本科及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 发展空间大
资深C++开发工程师,浙江创悦诚科技有限公司,25-30k,杭州-长河,本科及以上 | 5-10年 | 语言不限 | 年龄不限,领导好 | 发展空间大
资深C++开发工程师,网易集团,20-40k·16薪,杭州-滨江区,统招本科 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 2019年中国互联网企业100强 | 中国500强 | 年终奖金 | 免费班车 | 发展空间大 | 公司规模大 | 带薪年假 | 休闲餐点 | 节日礼物 | 定期体检
C/C++开发工程师,SIFO,20-30k,苏州-昆山,大专及以上 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 年终奖金 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 技能培训 | 岗位晋升 | 弹性工作 | 带薪年假
c++开发工程师,一应科技,15-20k·13薪,南京-雨花台区,统招本科 | 3-5年 | 语言不限 | 年龄不限,绩效奖金 | 带薪年假 | 弹性工作 | 节日礼物 | 岗位晋升 | 五险一金 | 公司规模大
c++软件开发工程师,苏州巨能图像检测技术有限公司,12-16k·14薪,苏州-昆山,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 发展空间大 | 带薪年假 | 年度旅游 | 团队聚餐 | 节日礼物 | 年底双薪 | 全额缴纳公积金
C++图形开发工程师,北京领为军融科技有限公司,20-40k·14薪,北京-大兴区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 交通补助 | 提供住宿 | 餐费补贴 | 领导好 | 发展空间大 | 岗位晋升 | 带薪年假
C/C++高级技术专家-财富经纪,恒生电子,30-40k·16薪,杭州,统招本科 | 5-10年 | 语言不限 | 年龄不限,上市公司 | 年终奖金 | 交通补助 | 免费班车 | 餐费补贴 | 发展空间大 | 弹性工作 | 团队聚餐 | 节日礼物 | 定期体检
高级C++软件开发工程师,苏州博沃创新能源科技有限公司,20-30k·14薪,上海-嘉定区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 通讯津贴 | 领导好 | 发展空间大 | 弹性工作 | 带薪年假
中高级C++软件工程师,北京中航通用科技有限公司,15-30k·14薪,北京-海淀区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 住房补贴 | 生育补贴 | 发展空间大 | 扁平管理 | 弹性工作 | 节日礼物 | 定期体检
初级C++软件工程师,北京中航通用科技有限公司,6-11k·14薪,北京-海淀区,统招本科 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 住房补贴 | 生育补贴 | 发展空间大 | 扁平管理 | 弹性工作 | 节日礼物 | 定期体检
C/C++高级技术专家-财富经纪,恒生电子,30-40k·16薪,杭州,统招本科 | 5-10年 | 语言不限 | 年龄不限,上市公司 | 年终奖金 | 交通补助 | 免费班车 | 餐费补贴 | 发展空间大 | 弹性工作 | 团队聚餐 | 节日礼物 | 定期体检
高级C++软件开发工程师,苏州博沃创新能源科技有限公司,20-30k·14薪,上海-嘉定区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 通讯津贴 | 领导好 | 发展空间大 | 弹性工作 | 带薪年假
中高级C++软件工程师,北京中航通用科技有限公司,15-30k·14薪,北京-海淀区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 住房补贴 | 生育补贴 | 发展空间大 | 扁平管理 | 弹性工作 | 节日礼物 | 定期体检
初级C++软件工程师,北京中航通用科技有限公司,6-11k·14薪,北京-海淀区,统招本科 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 住房补贴 | 生育补贴 | 发展空间大 | 扁平管理 | 弹性工作 | 节日礼物 | 定期体检
c++,武汉中海庭数据技术有限公司,22-44k·16薪,上海-中原,本科及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 发展空间大 | 带薪年假 | 年度旅游 | 子女福利 | 定期体检
